,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,South Africa,Australia,Australia,8 wickets,Cape Town,"Dec 31, 1949 - Jan 4, 1950",Test # 319
1,South Africa,Australia,Australia,5 wickets,Durban,"Jan 20-24, 1950",Test # 320
2,South Africa,Australia,drawn,,Johannesburg,"Feb 10-14, 1950",Test # 321
3,South Africa,Australia,Australia,inns & 259 runs,Gqeberha,"Mar 3-6, 1950",Test # 322
4,England,West Indies,England,202 runs,Manchester,"Jun 8-12, 1950",Test # 323
5,England,West Indies,West Indies,326 runs,Lord's,"Jun 24-29, 1950",Test # 324
6,England,West Indies,West Indies,10 wickets,Nottingham,"Jul 20-25, 1950",Test # 325
7,England,West Indies,West Indies,inns & 56 runs,The Oval,"Aug 12-16, 1950",Test # 326
8,Australia,England,Australia,70 runs,Brisbane,"Dec 1-5, 1950",Test # 327
9,Australia,England,Australia,28 runs,Melbourne,"Dec 22-27, 1950",Test # 328
