,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,South Africa,England,England,87 runs,Cape Town,"Dec 31, 1927 - Jan 4, 1928",Test # 169
1,South Africa,England,drawn,,Durban,"Jan 21-25, 1928",Test # 170
2,South Africa,England,South Africa,4 wickets,Johannesburg,"Jan 28-Feb 1, 1928",Test # 171
3,South Africa,England,South Africa,8 wickets,Durban,"Feb 4-8, 1928",Test # 172
4,England,West Indies,England,inns & 58 runs,Lord's,"Jun 23-26, 1928",Test # 173
5,England,West Indies,England,inns & 30 runs,Manchester,"Jul 21-24, 1928",Test # 174
6,England,West Indies,England,inns & 71 runs,The Oval,"Aug 11-14, 1928",Test # 175
7,Australia,England,England,675 runs,Brisbane,"Nov 30-Dec 5, 1928",Test # 176
8,Australia,England,England,8 wickets,Sydney,"Dec 14-20, 1928",Test # 177
9,Australia,England,England,3 wickets,Melbourne,"Dec 29, 1928 - Jan 5, 1929",Test # 178
