,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,New Zealand,Sri Lanka,New Zealand,45 runs,Mount Maunganui,"Jan 3, 2019",ODI # 4074
1,New Zealand,Sri Lanka,New Zealand,21 runs,Mount Maunganui,"Jan 5, 2019",ODI # 4075
2,New Zealand,Sri Lanka,New Zealand,115 runs,Nelson,"Jan 8, 2019",ODI # 4076
3,Australia,India,Australia,34 runs,Sydney,"Jan 12, 2019",ODI # 4077
4,Australia,India,India,6 wickets,Adelaide,"Jan 15, 2019",ODI # 4078
5,Australia,India,India,7 wickets,Melbourne,"Jan 18, 2019",ODI # 4079
6,South Africa,Pakistan,Pakistan,5 wickets,Gqeberha,"Jan 19, 2019",ODI # 4080
7,South Africa,Pakistan,South Africa,5 wickets,Durban,"Jan 22, 2019",ODI # 4081
8,New Zealand,India,India,8 wickets,Napier,"Jan 23, 2019",ODI # 4082
9,U.A.E.,Nepal,U.A.E.,3 wickets,ICCA Dubai,"Jan 25, 2019",ODI # 4083
10,South Africa,Pakistan,South Africa,13 runs,Centurion,"Jan 25, 2019",ODI # 4084
11,New Zealand,India,India,90 runs,Mount Maunganui,"Jan 26, 2019",ODI # 4085
12,U.A.E.,Nepal,Nepal,145 runs,ICCA Dubai,"Jan 26, 2019",ODI # 4086
13,South Africa,Pakistan,Pakistan,8 wickets,Johannesburg,"Jan 27, 2019",ODI # 4087
14,New Zealand,India,India,7 wickets,Mount Maunganui,"Jan 28, 2019",ODI # 4088
15,U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,"Jan 28, 2019",ODI # 4089
16,South Africa,Pakistan,South Africa,7 wickets,Cape Town,"Jan 30, 2019",ODI # 4090
17,New Zealand,India,New Zealand,8 wickets,Hamilton,"Jan 31, 2019",ODI # 4091
18,New Zealand,India,India,35 runs,Wellington,"Feb 3, 2019",ODI # 4092
19,New Zealand,Bangladesh,New Zealand,8 wickets,Napier,"Feb 13, 2019",ODI # 4093
20,New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch,"Feb 16, 2019",ODI # 4094
21,New Zealand,Bangladesh,New Zealand,88 runs,Dunedin,"Feb 20, 2019",ODI # 4095
22,West Indies,England,England,6 wickets,Bridgetown,"Feb 20, 2019",ODI # 4096
23,West Indies,England,West Indies,26 runs,Bridgetown,"Feb 22, 2019",ODI # 4097
24,West Indies,England,no result,,St George's,"Feb 25, 2019",ODI # 4098
25,West Indies,England,England,29 runs,St George's,"Feb 27, 2019",ODI # 4099
26,Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun,"Feb 28, 2019",ODI # 4100
27,Afghanistan,Ireland,no result,,Dehradun,"Mar 2, 2019",ODI # 4101
28,India,Australia,India,6 wickets,Hyderabad (Deccan),"Mar 2, 2019",ODI # 4102
29,West Indies,England,West Indies,7 wickets,Gros Islet,"Mar 2, 2019",ODI # 4103
30,South Africa,Sri Lanka,South Africa,8 wickets,Johannesburg,"Mar 3, 2019",ODI # 4104
31,Afghanistan,Ireland,Ireland,4 wickets,Dehradun,"Mar 5, 2019",ODI # 4105
32,India,Australia,India,8 runs,Nagpur,"Mar 5, 2019",ODI # 4106
33,South Africa,Sri Lanka,South Africa,113 runs,Centurion,"Mar 6, 2019",ODI # 4107
34,Afghanistan,Ireland,Afghanistan,109 runs,Dehradun,"Mar 8, 2019",ODI # 4108
35,India,Australia,Australia,32 runs,Ranchi,"Mar 8, 2019",ODI # 4109
36,Afghanistan,Ireland,Ireland,5 wickets,Dehradun,"Mar 10, 2019",ODI # 4110
37,India,Australia,Australia,4 wickets,Mohali,"Mar 10, 2019",ODI # 4111
38,South Africa,Sri Lanka,South Africa,71 runs,Durban,"Mar 10, 2019",ODI # 4112
39,India,Australia,Australia,35 runs,Delhi,"Mar 13, 2019",ODI # 4113
40,South Africa,Sri Lanka,South Africa,6 wickets,Gqeberha,"Mar 13, 2019",ODI # 4114
41,South Africa,Sri Lanka,South Africa,41 runs,Cape Town,"Mar 16, 2019",ODI # 4115
42,Australia,Pakistan,Australia,8 wickets,Sharjah,"Mar 22, 2019",ODI # 4116
43,Australia,Pakistan,Australia,8 wickets,Sharjah,"Mar 24, 2019",ODI # 4117
44,Australia,Pakistan,Australia,80 runs,Abu Dhabi,"Mar 27, 2019",ODI # 4118
45,Australia,Pakistan,Australia,6 runs,Dubai (DSC),"Mar 29, 2019",ODI # 4119
46,Australia,Pakistan,Australia,20 runs,Dubai (DSC),"Mar 31, 2019",ODI # 4120
47,Zimbabwe,U.A.E.,Zimbabwe,7 wickets,Harare,"Apr 10, 2019",ODI # 4121
48,Zimbabwe,U.A.E.,Zimbabwe,4 runs,Harare,"Apr 12, 2019",ODI # 4122
49,Zimbabwe,U.A.E.,Zimbabwe,131 runs,Harare,"Apr 14, 2019",ODI # 4123
50,Zimbabwe,U.A.E.,Zimbabwe,3 wickets,Harare,"Apr 16, 2019",ODI # 4124
51,Namibia,Oman,Namibia,145 runs,Windhoek,"Apr 27, 2019",ODI # 4125
52,P.N.G.,U.S.A.,P.N.G.,5 wickets,Windhoek,"Apr 27, 2019",ODI # 4126
53,Ireland,England,England,4 wickets,Dublin (Malahide),"May 3, 2019",ODI # 4127
54,Ireland,West Indies,West Indies,196 runs,Dublin,"May 5, 2019",ODI # 4128
55,Bangladesh,West Indies,Bangladesh,8 wickets,Dublin,"May 7, 2019",ODI # 4129
56,England,Pakistan,no result,,The Oval,"May 8, 2019",ODI # 4130
57,Scotland,Afghanistan,Afghanistan,2 runs,Edinburgh,"May 10, 2019",ODI # 4131
58,Ireland,West Indies,West Indies,5 wickets,Dublin (Malahide),"May 11, 2019",ODI # 4132
59,England,Pakistan,England,12 runs,Southampton,"May 11, 2019",ODI # 4133
60,Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),"May 13, 2019",ODI # 4134
61,England,Pakistan,England,6 wickets,Bristol,"May 14, 2019",ODI # 4135
62,Ireland,Bangladesh,Bangladesh,6 wickets,Dublin,"May 15, 2019",ODI # 4136
63,Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),"May 17, 2019",ODI # 4137
64,England,Pakistan,England,3 wickets,Nottingham,"May 17, 2019",ODI # 4138
65,Ireland,Afghanistan,Ireland,72 runs,Belfast,"May 19, 2019",ODI # 4139
66,England,Pakistan,England,54 runs,Leeds,"May 19, 2019",ODI # 4140
67,Ireland,Afghanistan,Afghanistan,126 runs,Belfast,"May 21, 2019",ODI # 4141
68,Scotland,Sri Lanka,Sri Lanka,35 runs,Edinburgh,"May 21, 2019",ODI # 4142
69,England,South Africa,England,104 runs,The Oval,"May 30, 2019",ODI # 4143
70,Pakistan,West Indies,West Indies,7 wickets,Nottingham,"May 31, 2019",ODI # 4144
71,New Zealand,Sri Lanka,New Zealand,10 wickets,Cardiff,"Jun 1, 2019",ODI # 4145
72,Afghanistan,Australia,Australia,7 wickets,Bristol,"Jun 1, 2019",ODI # 4146
73,Bangladesh,South Africa,Bangladesh,21 runs,The Oval,"Jun 2, 2019",ODI # 4147
74,England,Pakistan,Pakistan,14 runs,Nottingham,"Jun 3, 2019",ODI # 4148
75,Afghanistan,Sri Lanka,Sri Lanka,34 runs,Cardiff,"Jun 4, 2019",ODI # 4149
76,India,South Africa,India,6 wickets,Southampton,"Jun 5, 2019",ODI # 4150
77,Bangladesh,New Zealand,New Zealand,2 wickets,The Oval,"Jun 5, 2019",ODI # 4151
78,Australia,West Indies,Australia,15 runs,Nottingham,"Jun 6, 2019",ODI # 4152
79,England,Bangladesh,England,106 runs,Cardiff,"Jun 8, 2019",ODI # 4153
